timestamp,route_id,travel_seconds,travel_minutes
2026-06-10 19:33:40,139,63,1.05
2026-06-10 19:33:40,480,104,1.73
2026-06-10 19:33:40,215,43,0.72
2026-06-10 19:33:40,171,33,0.55
2026-06-10 19:33:40,747,158,2.63
2026-06-10 19:33:40,170,99,1.65
2026-06-10 19:33:40,439,182,3.03
2026-06-10 19:33:40,192,30,0.5
2026-06-10 19:33:40,747,900,15.0
2026-06-10 19:33:40,121,68,1.13
2026-06-10 19:33:40,124,60,1.0
2026-06-10 19:33:40,198,240,4.0
2026-06-10 19:33:40,128,30,0.5
2026-06-10 19:33:40,747,452,7.53
2026-06-10 19:33:40,196,213,3.55
2026-06-10 19:33:40,18,114,1.9
2026-06-10 19:33:40,214,55,0.92
2026-06-10 19:33:40,185,53,0.88
2026-06-10 19:33:40,48,47,0.78
2026-06-10 19:33:40,209,300,5.0
2026-06-10 19:33:40,171,120,2.0
2026-06-10 19:33:40,131,21,0.35
2026-06-10 19:33:40,41,40,0.67
2026-06-10 19:33:40,150,236,3.93
2026-06-10 19:33:40,66,55,0.92
2026-06-10 19:33:40,165,69,1.15
2026-06-10 19:33:40,197,78,1.3
2026-06-10 19:33:40,11,162,2.7
2026-06-10 19:33:40,36,133,2.22
2026-06-10 19:33:40,70,29,0.48
2026-06-10 19:33:40,27,156,2.6
2026-06-10 19:33:40,202,259,4.32
2026-06-10 19:33:40,20,74,1.23
2026-06-10 19:33:40,121,48,0.8
2026-06-10 19:33:40,18,226,3.77
2026-06-10 19:33:40,230,78,1.3
2026-06-10 19:33:40,33,70,1.17
2026-06-10 19:33:40,90,126,2.1
2026-06-10 19:33:40,31,65,1.08
2026-06-10 19:33:40,221,238,3.97
2026-06-10 19:33:40,18,242,4.03
2026-06-10 19:33:40,460,240,4.0
2026-06-10 19:33:40,747,1409,23.48
2026-06-10 19:33:40,48,57,0.95
2026-06-10 19:33:40,150,236,3.93
2026-06-10 19:33:40,449,55,0.92
2026-06-10 19:33:40,85,50,0.83
2026-06-10 19:33:40,17,272,4.53
2026-06-10 19:33:40,202,60,1.0
2026-06-10 19:33:40,174,14,0.23
2026-06-10 19:33:40,211,60,1.0
2026-06-10 19:33:40,747,1515,25.25
2026-06-10 19:33:40,192,33,0.55
2026-06-10 19:33:40,102,51,0.85
2026-06-10 19:33:40,103,87,1.45
2026-06-10 19:33:40,128,60,1.0
2026-06-10 19:33:40,85,32,0.53
2026-06-10 19:33:40,103,102,1.7
2026-06-10 19:33:40,105,141,2.35
2026-06-10 19:33:40,777,300,5.0
2026-06-10 19:33:40,92,259,4.32
2026-06-10 19:33:40,215,147,2.45
2026-06-10 19:33:40,205,42,0.7
2026-06-10 19:33:40,206,35,0.58
2026-06-10 19:33:40,37,92,1.53
2026-06-10 19:33:40,100,34,0.57
2026-06-10 19:33:40,491,73,1.22
2026-06-10 19:33:40,193,63,1.05
2026-06-10 19:33:40,491,941,15.68
2026-06-10 19:33:40,90,35,0.58
2026-06-10 19:33:40,129,78,1.3
2026-06-10 19:33:40,106,41,0.68
2026-06-10 19:33:40,150,59,0.98
2026-06-10 19:33:40,460,240,4.0
2026-06-10 19:33:40,215,147,2.45
2026-06-10 19:33:40,51,80,1.33
2026-06-10 19:33:40,81,89,1.48
2026-06-10 19:33:40,747,855,14.25
2026-06-10 19:33:40,747,1484,24.73
2026-06-10 19:33:40,165,37,0.62
2026-06-10 19:33:40,34,41,0.68
2026-06-10 19:33:40,164,3,0.05
2026-06-10 19:33:40,55,57,0.95
2026-06-10 19:33:40,177,15,0.25
2026-06-10 19:33:40,470,112,1.87
2026-06-10 19:33:40,468,31,0.52
2026-06-10 19:33:40,141,54,0.9
2026-06-10 19:33:40,105,117,1.95
2026-06-10 19:33:40,212,92,1.53
2026-06-10 19:33:40,103,87,1.45
2026-06-10 19:33:40,161,184,3.07
2026-06-10 19:33:40,176,60,1.0
2026-06-10 19:33:40,22,56,0.93
2026-06-10 19:33:40,56,53,0.88
2026-06-10 19:33:40,125,137,2.28
2026-06-10 19:33:40,79,60,1.0
2026-06-10 19:33:40,18,226,3.77
2026-06-10 19:33:40,99,100,1.67
2026-06-10 19:33:40,68,86,1.43
2026-06-10 19:33:40,141,49,0.82
2026-06-10 19:33:40,95,67,1.12
2026-06-10 19:33:40,144,127,2.12
2026-06-10 19:33:40,449,60,1.0
2026-06-10 19:33:40,170,40,0.67
2026-06-10 19:33:40,72,29,0.48
2026-06-10 19:33:40,66,46,0.77
2026-06-10 19:33:40,747,900,15.0
2026-06-10 19:33:40,129,59,0.98
2026-06-10 19:33:40,144,49,0.82
2026-06-10 19:33:40,468,30,0.5
2026-06-10 19:33:40,43,73,1.22
2026-06-10 19:33:40,160,50,0.83
2026-06-10 19:33:40,49,60,1.0
2026-06-10 19:33:40,209,94,1.57
2026-06-10 19:33:40,177,49,0.82
2026-06-10 19:33:40,57,67,1.12
2026-06-10 19:33:40,57,59,0.98
2026-06-10 19:33:40,777,240,4.0
2026-06-10 19:33:40,777,181,3.02
2026-06-10 19:33:40,103,64,1.07
2026-06-10 19:33:40,487,101,1.68
2026-06-10 19:33:40,63,59,0.98
2026-06-10 19:33:40,138,21,0.35
2026-06-10 19:33:40,93,108,1.8
2026-06-10 19:33:40,221,120,2.0
2026-06-10 19:33:40,410,19,0.32
2026-06-10 19:33:40,747,1240,20.67
2026-06-10 19:33:40,165,37,0.62
2026-06-10 19:33:40,61,145,2.42
